id,birth_year,gender,category,weight,height,pro_agility_l,pro_agility_r,broad_jump,vertical_jump,dash_10yd,shuttle_100yd,shuttle_150yd,shuttle_300yd,flexed_arm_hang,pull_ups,ue_watt,le_watt,age,demo_edu,demo_income,demo_fin_support,demo_sports_access,demo_years_org_sport,demo_race_asian,demo_race_black,demo_race_hispanic,demo_race_native,demo_race_pacific,demo_race_white,mtq_score,grt_score,res_score,se_score,sms_core,twc_score,hst_age_first_league,hst_age_regular_hky,hst_age_supervised,hst_age_main_sport,hst_practice_hrs_band,hst_game_hrs_band,hst_hky_8plus_months,hst_multi_sport_level,hst_effort,hst_focus,hst_enjoyment,hst_camps_freq,hst_relocated,hst_injury_count_12_16,hst_days_missed_2y,hst_comp_level,hst_age_first_at_level,cog_focus_score,sleep_hrs_band,nut_balanced_meals,nut_score,nut_limiting_factors,nut_energy_mornings,cog_decision_intelligence_score,cog_pregame_anxiety,cop_breathing_exercises,cop_self_talk,cop_visualization,cop_talking_to_teammate,cop_other,coach_score,weight_abs_impr,weight_rel_impr_pct,weight_impr_per_year,height_abs_impr,height_rel_impr_pct,height_impr_per_year,pro_agility_l_abs_impr,pro_agility_l_rel_impr_pct,pro_agility_l_impr_per_year,pro_agility_r_abs_impr,pro_agility_r_rel_impr_pct,pro_agility_r_impr_per_year,broad_jump_abs_impr,broad_jump_rel_impr_pct,broad_jump_impr_per_year,vertical_jump_abs_impr,vertical_jump_rel_impr_pct,vertical_jump_impr_per_year,dash_10yd_abs_impr,dash_10yd_rel_impr_pct,dash_10yd_impr_per_year,shuttle_100yd_abs_impr,shuttle_100yd_rel_impr_pct,shuttle_100yd_impr_per_year,shuttle_150yd_abs_impr,shuttle_150yd_rel_impr_pct,shuttle_150yd_impr_per_year,shuttle_300yd_abs_impr,shuttle_300yd_rel_impr_pct,shuttle_300yd_impr_per_year,flexed_arm_hang_abs_impr,flexed_arm_hang_rel_impr_pct,flexed_arm_hang_impr_per_year,pull_ups_abs_impr,pull_ups_rel_impr_pct,pull_ups_impr_per_year,ue_watt_abs_impr,ue_watt_rel_impr_pct,ue_watt_impr_per_year,le_watt_abs_impr,le_watt_rel_impr_pct,le_watt_impr_per_year,category_progression,num_tests,ever_promoted_between_tests,target_pro_success
Athlete 35,2003,1,7,179.20,72.25,4.29,4.22,105,27.00,1.69,,,60.00,,7,415,864,22,3,5,1,5,5,0,0,0,0,0,1,41,30,46,29,73,25,7,7,16,10,5,2,0,0,4,4,4,3,1,,,,,9,3,1,12,0,4,14,3,0,0,0,1,0,8,12.60,7.56%,12.60,2.75,3.96%,2.75,0.22,5.13%,0.22,0.27,6.40%,0.27,4.00,3.96%,4.00,1.50,5.88%,1.50,0.06,3.55%,0.06,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,5.00,71.43%,5.00,79.00,19.04%,79.00,160.00,22.73%,160.00,1,3,1,1
Athlete 107,2004,1,5,,72.75,4.24,4.23,100.00,27.50,1.71,,,61.00,,10,,,21,2,4,2,4,5,0,0,0,0,0,1,44,29,47,26,85,17,3,3,3,5,1,1,0,0,5,5,5,3,1,,,,,9,2,1,13,0,3,10,4,1,0,1,0,0,8,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0,1,0,1
Athlete 112,2004,1,6,140,65.50,4.18,4.30,94.00,25.50,1.65,,34.00,,17,,,,21,3,3,0,1,5,0,0,0,0,0,1,35,26,42,30,82,23,6,6,6,6,1,1,0,0,1,1,4,3,1,,,,,10,3,1,11,0,5,15,5,0,0,1,0,0,10,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0,1,0,0
Athlete 124,2004,1,5,,70.50,4.44,4.41,97.00,26.00,1.74,,31.67,,24,,,,21,3,1,0,3,5,0,0,1,0,0,1,40,23,44,30,91,14,8,10,12,11,5,4,0,0,4,4,5,3,1,,,,,6,3,1,11,1,4,11,5,0,0,1,0,0,6,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0,1,0,1
Athlete 125,2004,0,7,136.6,64,4.97,4.95,82,19,1.85,,,62.33,,2,,,21,1,4,0,5,5,0,0,0,0,0,1,40,34,46,30,81,25,5,11,14,11,5,5,0,0,5,5,5,3,1,,,,,7,3,1,14,0,3,13,4,0,0,1,0,0,10,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0,1,0,1
Athlete 491,2009,0,4,117.20,64.00,4.80,4.77,87.00,24.00,1.83,,,,37,,,,21,4,5,2,5,5,0,0,0,0,0,1,38,27,42,24,97,16,5,5,5,8,5,5,1,0,4,4,4,3,1,,,,,8,4,1,13,1,4,12,5,0,0,1,0,0,2,0.00,0.00%,0.00,0.25,0.39%,0.13,0.34,7.62%,0.17,0.22,4.84%,0.11,2.00,2.30%,1.00,0.50,2.08%,0.25,0.03,1.64%,0.02,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,16.00,76.19%,8.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,2,2,1,1
Athlete 491,2009,0,6,,64.25,4.46,4.55,89.00,24.50,1.86,,31.33,,21,,,,21,4,5,2,5,5,0,0,0,0,0,1,38,27,42,24,97,16,5,5,5,8,5,5,1,0,4,4,4,3,1,,,,,8,4,1,13,1,4,12,5,0,0,1,0,0,2,0.00,0.00%,0.00,0.25,0.39%,0.13,0.34,7.62%,0.17,0.22,4.84%,0.11,2.00,2.30%,1.00,0.50,2.08%,0.25,0.03,1.64%,0.02,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,16.00,76.19%,8.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,2,2,1,1
Athlete 83,2004,1,6,161.9,69.00,,,105.00,29.00,,,,64.33,,2,,,21,4,1,2,5,5,0,0,0,0,0,1,41,29,46,29,86,25,6,6,12,14,5,4,1,0,5,5,3,3,1,,,,,8,2,1,14,0,4,9,2,0,1,1,1,0,4,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0,1,0,1
Athlete 84,2004,1,5,,69.00,4.21,4.20,107.00,30.00,1.65,,31.00,,9,,,,21,4,5,2,5,5,0,0,0,0,0,1,38,27,42,24,97,16,5,5,5,8,5,5,1,0,4,4,4,3,1,,,,,8,4,1,13,1,4,12,5,0,0,1,0,0,2,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0,1,0,1
Athlete 89,2004,0,7,170.7,71.75,4.35,4.53,93,23.5,1.9,,32.67,,35,,,,21,5,5,0,4,5,0,0,0,0,0,1,46,28,48,26,89,15,5,8,5,15,5,5,1,0,4,4,5,3,1,,,,,8,2,1,14,0,4,13,2,0,1,1,0,0,4,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0,1,0,1
